iter	Passed	Remaining
0	0	56
1	1	70
2	2	87
3	3	87
4	4	88
5	5	88
6	6	89
7	7	89
8	8	89
9	9	87
10	10	85
11	11	85
12	12	83
13	13	82
14	14	79
15	14	77
16	15	76
17	16	75
18	17	73
19	18	72
20	18	71
21	19	69
22	20	67
23	21	66
24	21	65
25	22	64
26	23	63
27	23	61
28	24	60
29	25	59
30	26	58
31	26	56
32	27	55
33	27	54
34	28	53
35	29	52
36	29	50
37	30	49
38	31	48
39	32	48
40	32	47
41	33	45
42	33	44
43	34	43
44	34	42
45	35	41
46	36	40
47	36	40
48	37	39
49	38	38
50	38	37
51	39	36
52	40	35
53	40	34
54	41	33
55	41	32
56	41	31
57	42	30
58	43	29
59	43	29
60	44	28
61	44	27
62	45	26
63	45	25
64	46	24
65	46	24
66	47	23
67	47	22
68	48	21
69	48	20
70	49	20
71	49	19
72	50	18
73	50	17
74	50	16
75	51	16
76	51	15
77	52	14
78	52	14
79	53	13
80	53	12
81	54	11
82	54	11
83	54	10
84	55	9
85	55	9
86	56	8
87	56	7
88	57	7
89	57	6
90	58	5
91	58	5
92	59	4
93	59	3
94	59	3
95	60	2
96	60	1
97	61	1
98	61	0
99	62	0
